id,german,correct,wrong
1,der Apfel,olma,mashina
2,das Haus,uy,telefon
3,die Schule,maktab,oyna
4,der Lehrer,o'qituvchi,daryo
5,die Mutter,ona,stul
6,der Vater,ota,sumka
7,das Buch,kitob,muz
8,die Tasche,sumka,oy
9,der Tisch,stol,telefon
10,das Wasser,suv,gul
11,die Tür,eshik,non
12,der Hund,it,oyna
13,die Katze,mushuk,qalam
14,das Auto,mashina,stakan
15,der Freund,do'st,muzlatgich
16,die Freundin,dugona,dengiz
17,das Handy,telefon,stul
18,der Stuhl,stul,oy
19,die Blume,gul,maktab
20,das Fenster,oyna,sumka
21,der Bruder,aka uka,telefon
22,die Schwester,opa singil,daryo
23,das Brot,non,muz
24,der Bleistift,qalam,stul
25,die Lampe,chiroq,eshik
26,das Bett,karavot,sumka
27,der Arzt,shifokor,oy
28,die Stadt,shahar,telefon
29,das Land,davlat,gul
30,der Student,talaba,mashina
31,die Arbeit,ish,telefon
32,das Essen,ovqat,stol
33,der Kaffee,qahva,sumka
34,die Zeitung,gazeta,oyna
35,das Kind,bola,muz
36,der Zug,poyezd,telefon
37,die Frage,savol,stul
38,das Bild,rasm,sumka
39,der Ball,to'p,oy
40,die Antwort,javob,gul
41,das Zimmer,xona,telefon
42,der Computer,kompyuter,daryo
43,die Musik,musiqa,stol
44,das Fahrrad,velosiped,muz
45,der Park,park,sumka
46,die Familie,oila,telefon
47,das Spiel,o'yin,oyna
48,der Abend,kechqurun,gul
49,die Uhr,soat,stul
50,das Meer,dengiz,sumka
51,der Morgen,ertalab,telefon
52,die Nacht,tun,muz
53,das Wetter,ob havo,stol
54,der Sommer,yoz,daryo
55,die Sonne,quyosh,sumka
56,das Jahr,yil,telefon
57,der Winter,qish,oyna
58,die Woche,hafta,stul
59,das Wochenende,hafta oxiri,muz
60,der Monat,oy,telefon
61,die Minute,daqiqa,sumka
62,das Problem,muammo,stol
63,der Name,ism,gul
64,die Sprache,til,oyna
65,das Foto,rasm,telefon
66,der Kuchen,tort,muz
67,die Suppe,sho'rva,stul
68,das Ei,tuxum,sumka
69,der Fisch,baliq,telefon
70,die Banane,banan,oyna
71,das Fleisch,go'sht,muz
72,der Saft,sharbat,telefon
73,die Orange,apelsin,stol
74,das Gemüse,sabzavot,sumka
75,der Markt,bozor,gul
76,die Reise,sayohat,oyna
77,das Ticket,chipta,telefon
78,der Flughafen,aeroport,muz
79,die Straße,ko'cha,stul
80,das Hotel,mehmonxona,sumka
81,der Chef,rahbar,telefon
82,die Küche,oshxona,oyna
83,das Messer,pichoq,muz
84,der Löffel,qoshiq,stul
85,die Gabel,sanchqi,sumka
86,das Glas,stakan,telefon
87,der Teller,tarelka,gul
88,die Kleidung,kiyim,oyna
89,das Hemd,ko'ylak,muz
90,der Schuh,oyoq kiyim,telefon
91,die Jacke,kurtka,sumka
92,das Geld,pul,oyna
93,der Preis,narx,telefon
94,die Bank,bank,stol
95,das Geschäft,do'kon,muz
96,der Beruf,kasb,sumka
97,die Universität,universitet,telefon
98,das Krankenhaus,kasalxona,oyna
99,der Urlaub,ta'til,gul
100,die Nachricht,xabar,stul,oyna
101,der Baum,daraxt,telefon,stakan
102,die Wolke,bulut,mashina,qalam
103,das Dorf,qishloq,oy,sumka
104,der Regen,yomg'ir,telefon,muz
105,die Insel,orol,stol,gul
106,das Radio,radio,daryo,oyna
107,der Vogel,qush,sumka,non
108,die Wüste,sahro,telefon,stakan
109,das Feuer,olov,muz,qalam
110,der Berg,tog',oyna,stul
111,die Karte,xarita,telefon,sumka
