word,type,level,translation,article,plural,preteritum,partizip_ii,positiv,komparativ,superlativ,example
Haus,Nomen,A1,uy,das,die Häuser,,,,,,Das Haus ist groß.
Tisch,Nomen,A1,stol,der,die Tische,,,,,,Der Tisch ist aus Holz.
Stuhl,Nomen,A1,stul,der,die Stühle,,,,,,Der Stuhl ist bequem.
Buch,Nomen,A1,kitob,das,die Bücher,,,,,,Das Buch ist interessant.
Tür,Nomen,A1,eshik,die,die Türen,,,,,,Die Tür ist offen.
Fenster,Nomen,A1,deraza,das,die Fenster,,,,,,Das Fenster ist geschlossen.
Schule,Nomen,A1,maktab,die,die Schulen,,,,,,Die Schule beginnt um acht Uhr.
Lehrer,Nomen,A1,o'qituvchi,der,die Lehrer,,,,,,Der Lehrer erklärt die Grammatik.
Schüler,Nomen,A1,o'quvchi,der,die Schüler,,,,,,Der Schüler lernt fleißig.
Familie,Nomen,A1,oila,die,die Familien,,,,,,Meine Familie ist sehr groß.
Mutter,Nomen,A1,ona,die,die Mütter,,,,,,Meine Mutter kocht jeden Tag.
Vater,Nomen,A1,ota,der,die Väter,,,,,,Mein Vater arbeitet in einer Firma.
Kind,Nomen,A1,bola,das,die Kinder,,,,,,Das Kind spielt im Park.
Bruder,Nomen,A1,aka-uka,der,die Brüder,,,,,,Mein Bruder wohnt in München.
Schwester,Nomen,A1,opa-singil,die,die Schwestern,,,,,,Meine Schwester ist Ärztin.
Freund,Nomen,A1,do'st,der,die Freunde,,,,,,Er ist ein guter Freund.
Stadt,Nomen,A1,shahar,die,die Städte,,,,,,Diese Stadt ist sehr schön.
Land,Nomen,A1,mamlakat,das,die Länder,,,,,,Usbekistan ist mein Heimatland.
Straße,Nomen,A1,ko'cha,die,die Straßen,,,,,,Die Straße ist heute leer.
Zimmer,Nomen,A1,xona,das,die Zimmer,,,,,,Das Zimmer ist sehr hell.
Küche,Nomen,A1,oshxona,die,die Küchen,,,,,,"Die Küche ist klein, aber praktisch."
Bett,Nomen,A1,karavot,das,die Betten,,,,,,Das Bett steht am Fenster.
Tag,Nomen,A1,kun,der,die Tage,,,,,,Heute ist ein schöner Tag.
Woche,Nomen,A1,hafta,die,die Wochen,,,,,,Nächste Woche habe ich Urlaub.
Monat,Nomen,A1,oy,der,die Monate,,,,,,Der erste Monat heißt Januar.
Jahr,Nomen,A1,yil,das,die Jahre,,,,,,Ich lerne seit einem Jahr Deutsch.
Uhr,Nomen,A1,soat (asbob),die,die Uhren,,,,,,Die Uhr hängt an der Wand.
Brot,Nomen,A1,non,das,die Brote,,,,,,Das Brot ist noch warm.
Apfel,Nomen,A1,olma,der,die Äpfel,,,,,,Der Apfel schmeckt süß.
Ei,Nomen,A1,tuxum,das,die Eier,,,,,,Ich esse jeden Morgen ein Ei.
Tasse,Nomen,A1,piyola,die,die Tassen,,,,,,Die Tasse ist voll Kaffee.
Flasche,Nomen,A1,shisha idish,die,die Flaschen,,,,,,Die Flasche ist leer.
Arbeit,Nomen,A1,ish,die,die Arbeiten,,,,,,Die Arbeit macht mir Spaß.
Auto,Nomen,A1,mashina,das,die Autos,,,,,,Das Auto ist neu.
Bus,Nomen,A1,avtobus,der,die Busse,,,,,,Der Bus kommt in fünf Minuten.
Zug,Nomen,A1,poyezd,der,die Züge,,,,,,Der Zug fährt pünktlich ab.
Flugzeug,Nomen,A1,samolyot,das,die Flugzeuge,,,,,,Das Flugzeug fliegt nach Berlin.
Fahrrad,Nomen,A1,velosiped,das,die Fahrräder,,,,,,Ich fahre jeden Tag mit dem Fahrrad.
Geld,Nomen,A1,pul,das,die Gelder,,,,,,Ich habe nicht viel Geld.
Name,Nomen,A1,ism,der,die Namen,,,,,,Wie ist dein Name?
Frage,Nomen,A1,savol,die,die Fragen,,,,,,Ich habe eine Frage.
Antwort,Nomen,A1,javob,die,die Antworten,,,,,,Das ist die richtige Antwort.
Wort,Nomen,A1,so'z,das,die Wörter,,,,,,Dieses Wort kenne ich nicht.
Satz,Nomen,A1,gap,der,die Sätze,,,,,,Bilde einen Satz mit diesem Wort.
