level,lesson,task_id,type,question,correct,wrong1,wrong2
A1,1,1,test,Nemis alifbosida nechta harf bor?,30,26,29
A1,1,2,test,Nemis tilida nechta umlaut mavjud?,3,2,4
A1,1,3,test,Quyidagilardan qaysi biri umlaut hisoblanadi?,Ä,ß,Q
A1,1,4,test,Nemis tilida nechta asosiy unli harf bor?,5,4,6
A1,1,5,test,Nemis tilida nechta undosh harf bor?,21,20,22
A1,1,6,test,W harfi qanday o'qiladi?,v,w,f
A1,1,7,test,Z harfi qanday o'qiladi?,ts,z,s
A1,1,8,test,ß harfi qanday o'qiladi?,ss,sh,b
A1,1,9,test,Q harfi qanday o'qiladi?,kv,k,ku
A1,1,10,test,C harfi e yoki i dan oldin qanday o'qiladi?,ts,k,s
A1,1,11,test,sch birikmasi qanday o'qiladi?,sh,ch,sch
A1,1,12,test,sp birikmasi qanday o'qiladi?,shp,sp,sht
A1,1,13,test,st birikmasi qanday o'qiladi?,sht,st,sh
A1,1,14,test,ei birikmasi qanday o'qiladi?,ay,oy,ii
A1,1,15,test,eu birikmasi qanday o'qiladi?,oy,ay,au
A1,1,16,test,au birikmasi qanday o'qiladi?,au,oy,ay
A1,1,17,test,ie birikmasi qanday o'qiladi?,ii,ie,ay
A1,1,18,test,V harfi ko'pincha qanday o'qiladi?,f,v,w
A1,1,19,test,J harfi nemischa so'zlarda qanday o'qiladi?,y,j,g
A1,1,20,test,Quyidagilardan qaysi biri umlaut emas?,Q,Ä,Ü
