level,lesson,teil,task_id,type,question,correct,wrong1,wrong2
A1,1,1,1,test,Nemis alifbosida nechta harf bor?,30,26,29
A1,1,1,2,test,Nemis tilida nechta umlaut mavjud?,3,2,4
A1,1,1,3,test,Quyidagilardan qaysi biri umlaut hisoblanadi?,Ä,ß,Q
A1,1,1,4,test,Nemis tilida nechta asosiy unli harf bor?,5,4,6
A1,1,1,5,test,Nemis tilida nechta undosh harf bor?,21,20,22
A1,1,1,6,test,W harfi qanday o'qiladi?,v,w,f
A1,1,1,7,test,Z harfi qanday o'qiladi?,ts,z,s
A1,1,1,8,test,ß harfi qanday o'qiladi?,ss,sh,b
A1,1,1,9,test,Q harfi qanday o'qiladi?,kv,k,ku
A1,1,1,10,test,C harfi e yoki i dan oldin qanday o'qiladi?,ts,k,s
A1,1,1,11,test,sch birikmasi qanday o'qiladi?,sh,ch,sch
A1,1,1,12,test,sp birikmasi qanday o'qiladi?,shp,sp,sht
A1,1,1,13,test,st birikmasi qanday o'qiladi?,sht,st,sh
A1,1,1,14,test,ei birikmasi qanday o'qiladi?,ay,oy,ii
A1,1,1,15,test,eu birikmasi qanday o'qiladi?,oy,ay,au
A1,1,1,16,test,au birikmasi qanday o'qiladi?,au,oy,ay
A1,1,1,17,test,ie birikmasi qanday o'qiladi?,ii,ie,ay
A1,1,1,18,test,V harfi ko'pincha qanday o'qiladi?,f,v,w
A1,1,1,19,test,J harfi nemischa so'zlarda qanday o'qiladi?,y,j,g
A1,1,1,20,test,Quyidagilardan qaysi biri umlaut emas?,Q,Ä,Ü
A1,2,1,1,test,Du ____ Deutsch.,lernst,lerne,lernt
A1,2,1,2,test,Er ____ die Tür.,öffnet,öffnen,öffnest
A1,2,1,3,test,Ihr ____ am Montag.,arbeitet,arbeitest,arbeite
A1,2,1,4,test,Ich ____ ein Buch.,lese,liest,lesen
A1,2,1,5,test,Du ____ nach Hause.,fährst,fährt,fahren
A1,2,1,6,test,Er ____ lange.,schläft,schläfst,schlafen
A1,2,1,7,test,Wir ____ jetzt.,fangen an,fängst an,fangt an
A1,2,1,8,test,Du ____ das Buch.,liest,lesen,ließt
A1,2,1,9,test,Sie ____ gern Fußball.,spielt,spielst,spielen
A1,2,1,10,test,Ich ____ dich.,sehe,sieht,siehst
A1,2,1,11,test,Du ____ die Straße.,überquerst,überquert,überquere
A1,2,1,12,test,Er ____ die Hausaufgaben.,macht,machst,machen
A1,2,1,13,test,Ihr ____ Musik.,hört,hören,hörst
A1,2,1,14,test,Wir ____ nach Deutschland.,fahren,fährt,fahrst
A1,2,1,15,test,Du ____ den Film.,siehst,sieht,sehen
A1,2,1,16,test,Ich ____ die Aufgabe.,mache,machst,macht
A1,2,1,17,test,Du ____ mir.,hilfst,hilft,helfen
A1,2,1,18,test,Er ____ den Tisch.,deckt,deckst,decke
A1,2,1,19,test,Wir ____ die Fenster.,öffnen,öffnest,öffnet
A1,2,1,20,test,Ihr ____ am Samstag.,tanzt,tanztet,tanze
A1,3,1,1,test,Ich ___ ein Buch.,habe,bin,hast
A1,3,1,2,test,Du ___ müde.,bist,hast,ist
A1,3,1,3,test,Er ___ Hunger.,hat,ist,hast
A1,3,1,4,test,Wir ___ zu Hause.,sind,haben,seid
A1,3,1,5,test,Ihr ___ viele Freunde.,habt,seid,hat
A1,3,1,6,test,Sie ___ Lehrer.,sind,haben,seid
A1,3,1,7,test,Ich ___ eine Katze.,habe,bin,hast
A1,3,1,8,test,Du ___ pünktlich.,bist,hast,seid
A1,3,1,9,test,Sie ___ ein Haus.,hat,ist,haben
A1,3,1,10,test,Wir ___ glücklich.,sind,haben,seid
A1,3,1,11,test,Er ___ krank.,ist,hat,bist
A1,3,1,12,test,Ihr ___ ein Fahrrad.,habt,seid,hat
A1,3,1,13,test,Sie ___ viele Bücher.,haben,sind,habt
A1,3,1,14,test,Ich ___ Zeit.,habe,bin,hat
A1,3,1,15,test,Du ___ laut.,bist,hast,ist
A1,3,1,16,test,Es ___ klein.,ist,hat,sind
A1,3,1,17,test,Wir ___ Schüler.,sind,haben,seid
A1,3,1,18,test,Ihr ___ Spaß.,habt,seid,hat
A1,3,1,19,test,Er ___ einen Bruder.,hat,ist,hast
A1,3,1,20,test,Sie ___ freundlich.,ist,hat,sind
A1,3,1,21,test,Ich ___ Hunger.,habe,bin,hast
A1,3,1,22,test,Du ___ eine Katze.,hast,bist,hat
A1,3,1,23,test,Er ___ zu Hause.,ist,hat,sind
A1,3,1,24,test,Wir ___ viele Bücher.,haben,sind,habt
A1,3,1,25,test,Ihr ___ müde.,seid,habt,sind
A1,3,1,26,test,Sie ___ ein Auto.,hat,ist,haben
A1,3,1,27,test,Ich ___ glücklich.,bin,habe,bist
A1,3,1,28,test,Du ___ freundlich.,bist,hast,ist
A1,3,1,29,test,Es ___ klein.,ist,hat,sind
A1,3,1,30,test,Wir ___ Lehrer.,sind,haben,seid
A1,3,2,1,test,___ Mann liest ein Buch.,Der,Die,Das
A1,3,2,2,test,Ich sehe ___ Frau im Garten.,Die,Der,Das
A1,3,2,3,test,___ Kind spielt im Park.,Das,Der,Die
A1,3,2,4,test,Ich gebe ___ Mann ein Geschenk.,Dem,Der,Den
A1,3,2,5,test,Das Buch ___ Kindes ist interessant.,Des,Der,Dem
A1,3,2,6,test,Ich sehe ___ Kinder auf der Straße.,Die,Den,Das
A1,3,2,7,test,Ich gebe ___ Frau einen Apfel.,Der,Die,Dem
A1,3,2,8,test,___ Vater arbeitet in einer Firma.,Der,Die,Das
A1,3,2,9,test,Ich sehe ___ Kind im Garten.,Das,Den,Die
A1,3,2,10,test,___ Spielsachen der Kinder sind neu.,Die,Der,Des
A1,3,2,11,test,___ Mann arbeitet in einer Firma.,Ein,Eine,Einer
A1,3,2,12,test,Ich sehe ___ Frau im Garten.,Eine,Ein,Einer
A1,3,2,13,test,___ Kind spielt im Park.,Ein,Eine,Einer
A1,3,2,14,test,Ich gebe ___ Mann ein Geschenk.,Einem,Ein,Einen
A1,3,2,15,test,Ich gebe ___ Frau einen Apfel.,Einer,Eine,Ein
A1,3,2,16,test,___ Mann liest die Zeitung.,Ein,Eine,Einer
A1,3,2,17,test,Ich sehe ___ Kind im Garten.,Ein,Eine,Einem
A1,3,2,18,test,Ich sehe ___ Frau im Park.,Eine,Ein,Einer
A1,3,2,19,test,Ich gebe ___ Kind ein Spielzeug.,Einem,Ein,Eine
A1,3,2,20,test,___ Kind spielt im Park.,Ein,Eine,Einer
A1,4,1,1,test,Ich habe ein Buch. Das ist ___ Buch.,mein,dein,sein
A1,4,1,2,test,Du hast eine Katze. Das ist ___ Katze.,deine,meine,seine
A1,4,1,3,test,Er hat ein Auto. Das ist ___ Auto.,sein,ihr,mein
A1,4,1,4,test,Sie hat einen Hund. Das ist ___ Hund.,ihr,sein,dein
A1,4,1,5,test,Wir haben ein Haus. Das ist ___ Haus.,unser,euer,ihr
A1,4,1,6,test,Ihr habt Fahrräder. Das sind ___ Fahrräder.,eure,unsere,ihre
A1,4,1,7,test,Ich liebe ___ Familie.,meine,deine,seine
A1,4,1,8,test,Du suchst ___ Schlüssel.,deinen,seinen,meinen
A1,4,1,9,test,Er besucht ___ Großeltern.,seine,ihre,unsere
A1,4,1,10,test,Sie verkauft ___ Auto.,ihr,sein,mein
A1,4,1,11,test,Wir machen ___ Hausaufgaben.,unsere,eure,ihre
A1,4,1,12,test,Ihr lernt mit ___ Lehrer.,eurem,unserem,ihrem
A1,4,1,13,test,Das ist ___ Zimmer (ich).,mein,dein,sein
A1,4,1,14,test,Das ist ___ Tasche (du).,deine,meine,seine
A1,4,1,15,test,Das ist ___ Bruder (er).,sein,ihr,mein
A1,4,1,16,test,Das ist ___ Schwester (sie).,ihre,seine,deine
A1,4,1,17,test,Das ist ___ Schule (wir).,unsere,eure,ihre
A1,4,1,18,test,Das ist ___ Klassenzimmer (ihr).,euer,unser,ihr
A1,4,1,19,test,Sind das ___ Bücher? (wir),unsere,eure,ihre
A1,4,1,20,test,Ist das ___ Handy? (du),dein,mein,sein
A1,4,2,1,test,Er sieht ___. (ich),mich,dich,mir
A1,4,2,2,test,Ich sehe ___. (du),dich,dir,mich
A1,4,2,3,test,Kannst du ___ helfen? (ich),mir,mich,dir
A1,4,2,4,test,Ich gebe ___ das Buch. (du),dir,dich,mir
A1,4,2,5,test,Wir kennen ___. (er),ihn,ihm,sie
A1,4,2,6,test,Ich helfe ___. (er),ihm,ihn,ihr
A1,4,2,7,test,Ich sehe ___. (sie),sie,ihr,ihn
A1,4,2,8,test,Ich gebe ___ einen Apfel. (sie),ihr,sie,ihm
A1,4,2,9,test,Der Lehrer fragt ___. (wir),uns,unser,euch
