1,der Apfel,olma,mashina,telefon
2,das Haus,uy,telefon,stul
3,die Schule,maktab,oyna,sumka
4,der Lehrer,o'qituvchi,daryo,oy
5,die Mutter,ona,stul,qalam
6,der Vater,ota,sumka,muz
7,das Buch,kitob,muz,telefon
8,die Tasche,sumka,oy,gul
9,der Tisch,stol,telefon,daryo
10,das Wasser,suv,gul,stakan
11,die Tür,eshik,non,oyna
12,der Hund,it,oyna,sumka
13,die Katze,mushuk,qalam,telefon
14,das Auto,mashina,stakan,muz
15,der Freund,do'st,muzlatgich,oy
16,die Freundin,dugona,dengiz,stul
17,das Handy,telefon,stul,sumka
18,der Stuhl,stul,oy,gul
19,die Blume,gul,maktab,telefon
20,das Fenster,oyna,sumka,muz
21,freundlich,mehribon,qo'pol,sovuq
22,laufen,yugurmoq,uxlamoq,o'tirmoq
23,langsam,sekin,tez,baland
24,helfen,yordam bermoq,unutmoq,sotmoq
25,interessant,qiziqarli,zerikarli,sovuq
26,fragen,so'ramoq,uxlamoq,o'qimoq
27,sauber,toza,iflos,qattiq
28,bezahlen,to'lamoq,qochmoq,sakrash
29,heute,bugun,ertaga,kecha
30,stark,kuchli,kuchsiz,nam
31,der Bruder,aka uka,telefon,stakan
32,die Schwester,opa singil,daryo,oy
33,das Brot,non,muz,qalam
34,der Bleistift,qalam,stul,sumka
35,die Lampe,chiroq,eshik,telefon
36,das Bett,karavot,sumka,mashina
37,der Arzt,shifokor,oy,gul
38,die Stadt,shahar,telefon,stul
39,das Land,davlat,gul,oyna
40,der Student,talaba,mashina,sumka
41,arbeiten,ishlamoq,uxlamoq,sakrash
42,schnell,tez,sekin,baland
43,glücklich,baxtli,xafa,issiq
44,lernen,o'rganmoq,unutmoq,yashirmoq
45,oft,tez-tez,kamdan-kam,erta
46,klein,kichik,katta,sovuq
47,wohnen,yashamoq,qochmoq,o'tirmoq
48,morgen,ertaga,kecha,bugun
49,müde,charchagan,dam olgan,faol
50,kochen,pishirmoq,haydash,suzmoq
51,die Arbeit,ish,telefon,qalam
52,das Essen,ovqat,stol,muz
53,der Kaffee,qahva,sumka,oy
54,die Zeitung,gazeta,oyna,gul
55,das Kind,bola,muz,telefon
56,der Zug,poyezd,telefon,stakan
57,die Frage,savol,stul,sumka
58,das Bild,rasm,sumka,oy
59,der Ball,to'p,oy,muz
60,die Antwort,javob,gul,qalam
61,trinken,ichmoq,sakrash,uxlamoq
62,schön,chiroyli,xunuk,zerikarli
63,verstehen,tushunmoq,unutmoq,qochmoq
64,gern,jon deb,majburan,sekin
65,lesen,o'qimoq,sotmoq,haydash
66,laut,baland,past,zerikarli
67,schreiben,yozmoq,uxlamoq,suzmoq
68,kalt,sovuq,issiq,quruq
69,spielen,o'ynamoq,yig'lamoq,qochmoq
70,zusammen,birga,yolg'iz,erta
71,das Zimmer,xona,telefon,oyna
72,der Computer,kompyuter,daryo,sumka
73,die Musik,musiqa,stol,telefon
74,das Fahrrad,velosiped,muz,gul
75,der Park,park,sumka,stakan
76,die Familie,oila,telefon,oy
77,das Spiel,o'yin,oyna,qalam
78,der Abend,kechqurun,gul,muz
79,die Uhr,soat,stul,telefon
80,das Meer,dengiz,sumka,oyna
81,schlafen,uxlamoq,yugurmoq,o'qimoq
82,alt,qari,yosh,tez
83,kaufen,sotib olmoq,sotmoq,unutmoq
84,dort,u yerda,bu yerda,erta
85,neu,yangi,eski,quruq
86,bringen,olib kelmoq,tashlab ketmoq,qochmoq
87,wichtig,muhim,keraksiz,oddiy
88,immer,har doim,hech qachon,sekin
89,öffnen,ochmoq,yopmoq,sakrash
90,ruhig,tinch,shovqinli,baland
91,der Morgen,ertalab,telefon,mashina
92,die Nacht,tun,muz,stul
93,das Wetter,ob-havo,stol,qalam
94,der Sommer,yoz,daryo,gul
95,die Sonne,quyosh,sumka,telefon
96,das Jahr,yil,telefon,oy
97,der Winter,qish,oyna,muz
98,die Woche,hafta,stul,sumka
99,das Wochenende,hafta oxiri,muz,telefon
100,der Monat,oy,telefon,gul
101,die Minute,daqiqa,sumka,stakan
102,das Problem,muammo,stol,oyna
103,der Name,ism,gul,muz
104,die Sprache,til,oyna,telefon
105,das Foto,rasm,telefon,sumka
106,der Kuchen,tort,muz,oy
107,die Suppe,sho'rva,stul,qalam
108,das Ei,tuxum,sumka,telefon
109,der Fisch,baliq,telefon,muz
110,die Banane,banan,oyna,gul
111,essen,yemoq,uxlamoq,qochmoq
112,freundlich,mehribon,qo'pol,sovuq
113,kommen,kelmoq,ketmoq,sakrash
114,später,keyinroq,hozir,erta
115,groß,katta,kichik,past
116,nehmen,olmoq,bermoq,qochmoq
117,früh,erta,kech,sekin
118,teuer,qimmat,arzon,oddiy
119,zeigen,ko'rsatmoq,yashirmoq,unutmoq
120,draußen,tashqarida,ichkarida,kecha
121,das Fleisch,go'sht,muz,stakan
122,der Saft,sharbat,telefon,sumka
123,die Orange,apelsin,stol,oy
124,das Gemüse,sabzavot,sumka,mashina
125,der Markt,bozor,gul,telefon
126,die Reise,sayohat,oyna,muz
127,das Ticket,chipta,telefon,stul
128,der Flughafen,aeroport,muz,sumka
129,die Straße,ko'cha,stul,qalam
130,das Hotel,mehmonxona,sumka,telefon
131,fahren,bormoq,minmoq,uxlamoq
132,langweilig,zerikarli,qiziqarli,faol
133,treffen,uchrashmoq,qochmoq,sakrash
134,meistens,ko'pincha,hech qachon,erta
135,leicht,oson,qiyin,og'ir
