1,der Stoff,o‘quv materiali,kasb,mashina
2,durchdenken,o‘ylab chiqmoq,sotib olmoq,unutmoq
3,zusammenfassen,xulosa qilmoq,bo‘yamoq,yashirmoq
4,sich auf etwas konzentrieren,diqqatni jamlamoq,uxlamoq,qochmoq
5,ordnen,tartiblamoq,buzmoq,sakramoq
6,aufschreiben,yozib olmoq,o‘chirib tashlamoq,tinglamoq
7,auf etwas achten,e'tibor bermoq,yopmoq,yo‘qotmoq
8,aufnehmen,qabul qilmoq,rad etmoq,sindirmoq
9,nachsprechen,takrorlamoq,sotmoq,tozalamoq
10,anwenden,qo‘llamoq,unutmoq,yashirmoq
11,sich bewegen,harakat qilmoq,o‘tirmoq,muzlamoq
12,die Sprachkenntnisse,til bilimi,uy vazifasi,imtihon
13,erwerben,egallamoq,yo‘qotmoq,sindirmoq
14,die Aussage,bayonot,ovqat,telefon
15,begründen,asoslamoq,inkor qilmoq,yopmoq
16,zustimmen,rozi bo‘lmoq,qarshi chiqmoq,qochmoq
17,der Widerspruch,e'tiroz,sovg‘a,daromad
18,ausdrücken,ifoda etmoq,yashirmoq,unutmoq
19,die Ansicht,nuqtai nazar,ko‘cha,daftar
20,der Ansicht sein,fikrda bo‘lmoq,qochib ketmoq,sotib olmoq
21,das Forum,forum,kasalxona,aeroport
22,der Beitrag,hissa,jarima,yo‘l
23,die Vorbereitung,tayyorgarlik,ta'til,shovqin
24,der Vorschlag,taklif,muammo,jarohat
25,die Alternative,muqobil variant,majburiyat,kasallik
26,die Lerntechnik,o‘rganish usuli,transport,talaba
27,die Lernmethode,o‘rganish metodi,ovqatlanish,ta'til
28,die Lerngruppe,o‘quv guruhi,kasalxona,bank
29,der Lernplan,o‘quv reja,chipta,telefon
30,der Lernstil,o‘rganish uslubi,yoqilg‘i,kiyim
31,der Lerntipp,o‘rganish bo‘yicha maslahat,jarima,shartnoma
32,die Lernerfahrung,o‘quv tajribasi,tezlik,manzil
33,der Lerntyp,o‘quvchi turi,haydovchi,mehmon
34,der Methodenmix,metodlar kombinatsiyasi,yoqilg‘i,baliq
35,auditiv,eshitish orqali,sovuq,achchiq
36,visuell,ko‘rish orqali,baland,qimmat
37,veraltet,eskirgan,zamonaviy,yangi
38,die Studie,tadqiqot,oshxona,chipta
39,auf Basis von,asosida,tashqarisida,qarshisida
40,die Rangfolge,reyting,tomosha,sarguzasht
41,bewerten,baholamoq,unutmoq,sindirib yubormoq
42,abschneiden,natija ko‘rsatmoq,qochib ketmoq,yashirmoq
43,überprüfen,tekshirmoq,sotmoq,to‘xtatmoq
44,empfehlenswert,tavsiya etiladigan,xavfli,keraksiz
45,hilfreich,foydali,zararli,zerikarli
46,effektiv,samarali,sekin,befoyda
47,optimal,eng maqbul,noto‘g‘ri,ortiqcha
48,gegenteilig,qarama-qarshi,o‘xshash,bir xil
49,hervorheben,ta'kidlamoq,yashirmoq,o‘chirib tashlamoq
50,markieren,belgilamoq,tozalamoq,bekor qilmoq
51,unterstreichen,tagini chizmoq,yirtmoq,yashirmoq
52,das Vorwissen,avvalgi bilim,qarz,jarima
53,einsteigen,boshlamoq,tugatmoq,uxlamoq
